instance,obj_value,time
n_6-euclidean_true,3087.0,0.025791447
n_7-euclidean_true,3132.0,0.086702692
n_8-euclidean_true,3776.0,0.022871959
n_9-euclidean_true,4181.0,0.152968623
n_10-euclidean_true,5423.0,0.240145239
n_11-euclidean_true,7142.0,0.39627662
n_12-euclidean_true,6364.0,0.329810914
n_13-euclidean_true,5971.0,0.422276701
n_14-euclidean_true,7669.0,38.366857724
n_15-euclidean_true,6140.0,7.757328414
n_16-euclidean_true,9144.0,4.843235571
n_17-euclidean_true,6698.0,42.260242522
n_18-euclidean_true,10154.0,55.790190734
n_19-euclidean_true,6987.0,11.352974908
n_20-euclidean_true,9098.0,55.288172706
