instance,obj_value,time
n_6-euclidean_true,3087.0,0.019049942
n_25-euclidean_true,9375.0,300.018885223
n_30-euclidean_true,14836.0,300.02575815
n_35-euclidean_true,14571.0,300.023330944
n_40-euclidean_true,10830.0,300.019238583
n_45-euclidean_true,15058.0,300.075199263
n_50-euclidean_true,9822.0,300.037125096
n_55-euclidean_true,11958.0,300.064368378
n_60-euclidean_true,15893.0,300.117745614
n_65-euclidean_true,18288.0,300.12639143
n_70-euclidean_true,12346.0,300.06028636
n_75-euclidean_true,15888.0,300.092343412
n_80-euclidean_true,16599.0,300.092475177
n_85-euclidean_true,15707.0,300.108501345
n_90-euclidean_true,36391.0,300.108153471
n_95-euclidean_true,28813.0,300.147230781
n_100-euclidean_true,11829.0,300.3953408
