instance,obj_value,time
n_6-euclidean_false,3307.0,0.006141488
n_7-euclidean_false,2066.0,0.006961504
n_8-euclidean_false,3270.0,0.017001744
n_9-euclidean_false,3113.0,0.023130244
n_10-euclidean_false,2684.0,0.178443798
n_11-euclidean_false,3899.0,0.073256508
n_12-euclidean_false,3389.0,0.116190018
n_13-euclidean_false,2682.0,0.088909698
n_14-euclidean_false,5090.0,0.293363042
n_15-euclidean_false,2126.0,0.037628695
n_16-euclidean_false,849.0,0.966336175
n_17-euclidean_false,619.0,0.15943758
n_18-euclidean_false,1300.0,180.056419779
n_19-euclidean_false,1182.0,6.065415635
n_20-euclidean_false,668.0,1.949380038
